_doc_id,text_original,label,dominant_topic,topic_probability
DOC_081386CC358EABAC,"Great men of our soil, I salute you.",NEUTRAL,4,0.8348149
DOC_C83E34B38DD33151,The same cyber security law he was against.  He will loose terribly!,NEGATIVE,2,0.7722446
DOC_2ED55194AE56128E,Share the cyber law and explain exactly what each stanza implies.,NEUTRAL,2,0.5649355
DOC_5E6A339D98A5D1BE,"I beg to differ. As someone in IT, this is a really bad Act if you ask me.",NEGATIVE,2,0.69332707
DOC_C2DF89D9596644F6,Lelonthats when you have opened your eyes ?,NEUTRAL,5,0.6364713
DOC_4A096B57622AE8DC,Human rights is now in gear,POSITIVE,6,0.7803747
DOC_486F850AB9AA64F6,"Cyber crime and Cyber security are real. human traffickers are busy enticing young men for jobs in Russia or Dubai, only to have their passports confiscated and army uniforms in Ukraine Frontlines. ladies get plane tickets for high-paying jobs in Qatar, UAE or Saudi Arabia, only to end up in kitchens where the Arab women confiscate their passports, beat them like criminals and threatening death. some unsuspecting citizens are cheated of their hard-earned money in banks (and wallet cash). some so unlucky internet users have their online accounts like Facebook, WhatsApp, Telegram and X highjacked and abused. Some hackers even forcibly access other people's, government and military accounts. you mean all these criminals ought to go their way just because the act infringe on their right to privacy?

besides, the good law doesn't need to be specific, it needs to be broad (what you call vague) because it's up to the Judiciary to interpret the law. let me give an example, the law can talk of ""possesing property believed to have been stolen (not ""possessing chicken, or money, or anything believed to have been stolen. the ""anything"" here becomes contestable since it can't be qualified). 

you really need to come out, spend some time to read through the act, spend some time reacting to the sections you find ""vague"" so that we also see where the vagueness lies. otherwise, you are just another loudmouth",POSITIVE,4,0.26664147
DOC_F022E54895290936,Will support you Mr President sir ❤️🥰,NEUTRAL,5,0.83154
DOC_AAAC03949F43710E,Last administration they shut down what’s app and we had to get VPN to access it now these guys have taken it a step further by indiscriminately just monitoring our communications,NEGATIVE,0,0.49476457
DOC_DAF3E2C575E9446B,There has been too much  unlawlessness. I hope the law will bring sanity for once.,POSITIVE,6,0.8393125
DOC_915B4AF1F8A6086F,"The USA does the same thing on both it's citizens and Visitors, illegally. It is very bad NOT to respect people's privacy. If you are doing it better come out and let the people know.",NEGATIVE,6,0.9109823
DOC_2262C727C1AB5A6E,"PF out of their own blindness amended the constitution which later started working against them after getting into the opposition, imagine signing such laws then boommm 2026 PF or tonse alliance Wich is highly filled with pf members wins the general elections with such a law in place😂😂🤣🤣🤣to be honest bamo can even rot on jail.how many lies did someone fed us which we have now realised that it was nothing but lies? Imagine those lies and we had such a law in place??😡😡😡😡😡😡",NEGATIVE,6,0.50334144
DOC_B96CC3D7734500AE,"Who are you? what impact do cause, nothing.ati fought",NEUTRAL,5,0.86719865
DOC_F64563510EEC631D,Ma laters will be effective apa,NEUTRAL,2,0.4053456
